logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000000003	0.441012545228574	-1.62277046293603	0.701458013970665	0.498173696195457	0.687784937490884	-8.08749849277688
ENSG00000000005	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
ENSG00000000457	-0.77039454441574	4.67203614005264	-8.50866553773369	4.7398843594398e-06	4.20434983398723e-05	3.54606757614962
ENSG00000000460	0.610795553141972	-1.45804952268371	0.964775443656167	0.356216135437321	0.536974038611806	-7.86261449512255
ENSG00000000938	1.3464730342388	1.79881438402646	2.03602037303655	0.0675995836500612	0.139343379896911	-6.43773732208074
ENSG00000001036	0.323920427961981	2.99740580195058	0.754200869310136	0.467202019124754	0.655454779548965	-8.04750929935213
ENSG00000001084	-1.34880243839428	8.26769634138656	-5.44245870203503	0.000233904317989075	0.00111854719312039	-0.633567416892154
ENSG00000001167	-0.615626358360266	3.76786993760644	-4.82856655615498	0.000592425103836068	0.00245372888686231	-1.61877224017298
ENSG00000001460	-1.18698962310692	-2.50696711945571	-1.59060165616019	0.141143924143861	0.25711763421481	-7.10991003206536
ENSG00000001461	-0.515389222382246	3.92321038177542	-2.24964223088093	0.0468533358293574	0.102737082209994	-6.08886895630169
ENSG00000001497	0.104131695141168	5.05292817437629	0.96468885371114	0.356257547656898	0.536982847142191	-7.86269848461124
ENSG00000001561	-0.311633379338864	3.87755345658442	-2.31750182497352	0.0416533573341234	0.0928452289492486	-5.9753870055531
ENSG00000001617	-0.0289971090141181	2.56439710589033	-0.157865175981068	0.877538991929548	0.997250810497507	-8.33695568056567
ENSG00000001626	-0.406145040017657	-2.55187508743875	-0.60795110474631	0.556059634940321	0.744354700185674	-8.15185002834484
ENSG00000001629	-1.9794937108437	4.62475574510394	-19.4084860088777	1.32044952952829e-09	9.96741327364428e-08	12.3669610695536
ENSG00000001630	-1.27402268637728	5.2538221064452	-1.61492765448775	0.135758898331026	0.24933723699556	-7.07560113778146
ENSG00000002016	-0.602749172927688	1.7499458718306	-1.94136089639554	0.079339203660956	0.159576866196303	-6.58755553479796
ENSG00000002330	0.8834361548718	3.93560784693088	4.74156100458122	0.000678763538774947	0.00274652724333567	-1.76243407213484
ENSG00000002549	0.0258095351583023	8.32135295790849	0.366270999346316	0.721389798424025	0.886567965847298	-8.27764968953547
ENSG00000002587	-0.935581155540972	-1.95182099210901	-1.56050457683527	0.148066074630769	0.267940744417802	-7.15191419650487
ENSG00000002745	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
ENSG00000002746	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
ENSG00000002822	0.171882962905489	3.01082913952816	1.08900694836137	0.300361774697149	0.470571709996191	-7.73575398193972
ENSG00000002834	-0.307861699978618	7.19096765566498	-2.48987362682623	0.0308380318339563	0.0715478356534869	-5.68248468371885
ENSG00000002919	0.302374360898508	3.10949803153271	1.17993985767884	0.263903820431873	0.425203412706509	-7.6351675712622
ENSG00000002933	0.99535731103959	7.05808100040933	2.81212745151547	0.0175135769764988	0.044258867026147	-5.12175062468099
ENSG00000003056	0.0282276044974026	6.69689975117758	0.467211426300946	0.649833900444598	0.831984244709004	-8.23238322688691
ENSG00000003096	-1.1602292225385	2.11606085622653	-4.06797908779977	0.00201581899103433	0.00694646568702347	-2.90525100228281
ENSG00000003137	-1.94422432848004	3.0498163188759	-5.03376968200821	0.000431646989619521	0.00187960040446666	-1.28383880423785
ENSG00000003147	0.223737164118125	0.514031406214289	0.867410164228265	0.40498352479404	0.590671072728782	-7.95299693282828
ENSG00000003249	0.616940650846519	-1.55653119202832	0.946285439745717	0.365138121818065	0.546657102844837	-7.88040538444746
ENSG00000003393	-1.0976862303143	6.27665372040681	-13.4270509879505	5.62028949291009e-08	1.2817146597351e-06	8.3323968154122
ENSG00000003402	-0.908555259492499	6.66587308057679	-3.75334134160233	0.00341906249561175	0.0108508695598593	-3.45478264876348
ENSG00000003436	-0.486204203808486	2.78615599469115	-3.18283063119393	0.00914229994460952	0.0253585661946983	-4.46547108544294
ENSG00000003509	0.692267799023169	3.93654639623207	4.15573666239504	0.00174333399343858	0.00611787849812698	-2.75354363499833
ENSG00000003756	-0.113455111126843	4.88898430337391	-0.996922387686374	0.341081828612015	0.519083907918911	-7.83099896650995
ENSG00000003987	0.0275529043142536	0.967214007827203	0.116155764944374	0.909706953588155	0.999999999999745	-8.34319630232858
ENSG00000003989	-0.935482018112245	8.90782783281016	-3.69671271330909	0.00376462084917745	0.0117840516193307	-3.55448253654666
ENSG00000004059	0.949665381661609	5.38221937611746	5.8759924810133	0.000125312381021429	0.000659867811747648	0.031270427557109
ENSG00000004139	-0.178631246087331	-0.901284116197786	-0.343782565059875	0.73775227932885	0.900974450819256	-8.28628130663213
ENSG00000004142	0.212966110886784	6.73666147697692	2.39216517965055	0.0365777716345539	0.082884382514968	-5.8492749137726
ENSG00000004399	-0.351735554850914	4.95528274196339	-1.86880363025587	0.089594877052709	0.176452403374968	-6.70009316162465
ENSG00000004455	0.652276765780549	7.5385248570875	5.59035795855513	0.000188488265765663	0.000928420015746887	-0.403858087819883
ENSG00000004468	0.00307530974945847	3.70178077117292	0.0184133555874524	0.985652138926041	0.999999999999745	-8.35038654084811
ENSG00000004478	0.45396764397128	7.46108425871303	2.96323929566215	0.0134296963068843	0.0353869109947664	-4.85506106893273
ENSG00000004487	0.0288081957353161	3.99749453812474	0.264152965407823	0.796742362113078	0.927832415984352	-8.31252859835147
ENSG00000004534	-0.269916190644673	4.41953545438666	-2.00621218909395	0.0711081042643824	0.14548299906212	-6.48526261413221
ENSG00000004660	0.128073173805384	-1.58587860732412	0.280578166577859	0.784450558534404	0.917410340242768	-8.30766844987797
ENSG00000004700	-0.342930415070635	2.279264696607	-1.83734749299017	0.0944105034631168	0.184435218786578	-6.74821562649539
ENSG00000004766	-0.650559374170528	3.4862800699441	-4.93405682242817	0.000503060663796428	0.00214418600828195	-1.44590014496842
ENSG00000004776	-0.339119336200359	4.08696507265933	-2.08129946969428	0.0625806321021435	0.131000804969496	-6.36496681068049
ENSG00000004777	0.700097417937935	-0.824989783837563	1.61089161613088	0.136639596346532	0.250636704256508	-7.08131536121356
ENSG00000004779	0.662955071828851	4.66741400307758	7.1628235027549	2.28029641097105e-05	0.000154652447962399	1.85582649962832
ENSG00000004799	-2.04730916175407	4.1516366408649	-2.14025467661126	0.0565730180177043	0.120412075710317	-6.26922555138032
ENSG00000004838	0.123059962721284	-1.95141556514394	0.242761404340199	0.812837393489182	0.941203108567739	-8.31842433370655
ENSG00000004846	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
ENSG00000004848	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
ENSG00000004864	-0.963542827095612	8.15563494551181	-9.03007913036243	2.71167663845691e-06	2.67395050364363e-05	4.14812002575936
ENSG00000004897	-1.45240619705254	4.6951072845449	-12.5156655060922	1.13439113854617e-07	2.15420163756371e-06	7.57446029502349
ENSG00000004939	0.106343891835601	-2.33084757863193	0.166323211031401	0.871042010681349	0.992237322512361	-8.33545949239696
ENSG00000004948	-0.156766594291497	-3.48475576219507	-0.573065280415059	0.578590120156004	0.765535695084076	-8.17366654996087
ENSG00000004961	-0.492760589356593	3.26558291068894	-4.5890374461024	0.000863797684676079	0.00337668400972418	-2.01658126446322
ENSG00000004975	-0.144617115071443	2.22225530959319	-1.05713895473561	0.314015428126564	0.486574044793876	-7.76948751280366
ENSG00000005001	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
