input_author,query,epmc_id,source,pmid,pmcid,doi,title,author_string,journal,pub_year,first_publication_date,cited_by_count,is_open_access,matched_keywords
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",40236482,MED,40236482,PMC11997625,10.3389/fmicb.2025.1541683,Exploring the gut microbiome and serum metabolome interplay in non-functioning pituitary neuroendocrine tumors.,"Liu J, Ye Z, Zhang Y, Su W, Liu J, Chen T, Shi Y, Liu L, Lu J, Cai Z, Zhong Q, Wang P, Pu J, Liu J, Wei Y, Pan H, Zhu H, Deng K, Wang R, Lu L, Hu X, Yao Y.",,2025,2025-04-01,2,Y,gut microbiome; bacteria; microbiota; host
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",41807473,MED,41807473,PMC13103409,10.1038/s41522-026-00955-3,Cetobacterium somerae as a microbial correlate of improved muscle quality after intestinal microbiota transplantation in Yellow River carp (Cyprinus carpio).,"Cheng L, Li Y, Zhang Y, Qin C, Yang L, Yan X, Nie G.",,2026,2026-03-10,0,Y,microbiota; gut microbiota; bacterium; gut microbiome
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",38458178,MED,38458178,PMC10957094,10.1016/j.stem.2024.02.004,A mitochondrial NADPH-cholesterol axis regulates extracellular vesicle biogenesis to support hematopoietic stem cell fate.,"Bonora M, Morganti C, van Gastel N, Ito K, Calura E, Zanolla I, Ferroni L, Zhang Y, Jung Y, Sales G, Martini P, Nakamura T, Lasorsa FM, Finkel T, Lin CP, Zavan B, Pinton P, Georgakoudi I, Romualdi C, Scadden DT, Ito K.",,2024,2024-03-01,57,N,lineage
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",41584685,MED,41584685,PMC12828522,10.1016/j.aninu.2025.09.008,Engineered &lt;i&gt;Bacillus subtilis&lt;/i&gt; WB600/ZD reduces post-weaning diarrhea in piglets by modulating gut microbiota and aryl hydrocarbon receptor (AHR) signaling.,"Li W, Wang X, Zhang Y, Yang H, Wang X, Meng W, Hu T, Zhang W, Zhu Y, Wang J, Yang G.",,2026,2025-11-20,0,Y,Bacillus; gut microbiota; Salmonella; incidence; microbiota; antibiotic; Salmonella enterica; infection
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",40643220,MED,40643220,PMC12252545,10.7554/elife.97130,The microbiome interacts with the circadian clock and dietary composition to regulate metabolite cycling in the &lt;i&gt;Drosophila&lt;/i&gt; gut.,"Zhang Y, Noya SB, Li Y, Fang J, Sehgal A.",,2025,2025-07-11,6,Y,microbiome; gut microbiome; host
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",42266460,MED,42266460,PMC13245178,10.1093/ismeco/ycag119,Niacinamide modulation by hemocyanin shapes hemolymph microbial communities in Penaeid shrimp.,"Bao S, Jiang M, Aweya JJ, Zhang Y, Zhao X, Zhao Y, Yang C, Li S, Zheng Z, Zhang Y.",,2026,2026-01-01,0,Y,host; Vibrio; bacterial load; infection; Staphylococcus aureus
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",41189596,MED,41189596,PMC12581646,10.1016/j.isci.2025.113657,Sevoflurane-induced gut microbiota dysbiosis drives adolescent neurobehavioral deficits in neonatal rats: Protective role of eicosapentaenoic acid.,"Fan P, Wang K, Wei H, Yang L, Zhang S, Cheng Y, Li C, Zhang Y, Jia P, Zhang Y, Xun Y, Wang Y, Yang P, Zhang P, Wang N.",,2025,2025-09-27,1,Y,gut microbiota; microbiota; exposure; bacterial
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",38321225,MED,38321225,PMC10950786,10.1038/s43587-024-00572-9,"Age-, sex- and proximal-distal-resolved multi-omics identifies regulators of intestinal aging in non-human primates.","Wang X, Luo Y, He S, Lu Y, Gong Y, Gao L, Mao S, Liu X, Jiang N, Pu Q, Du D, Shu Y, Hai S, Li S, Chen HN, Zhao Y, Xie D, Qi S, Lei P, Hu H, Xu H, Zhou ZG, Dong B, Zhang H, Zhang Y, Dai L.",,2024,2024-02-06,34,Y,incidence
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",34478281,MED,34478281,PMC9807262,10.1021/acssynbio.1c00167,Metabolic Dynamics in <i>Escherichia coli</i>-Based Cell-Free Systems.,"Miguez AM, Zhang Y, Piorino F, Styczynski MP.",,2021,2021-09-03,21,N,Escherichia coli
Zhang Y,"((ACCESSION_TYPE:""metabolights"") OR (LABS_PUBS:""1782"")) AND AUTH:""Zhang Y""",38172782,MED,38172782,PMC10763682,10.1186/s12917-023-03849-0,Analysis of fecal microbiome and metabolome changes in goats with pregnant toxemia.,"Jin B, Wang R, Hu J, Wang Y, Cheng P, Zhang J, Zhang J, Xue G, Zhu Y, Zhang Y, Fang F, Liu Y, Li Y.",,2024,2024-01-03,7,Y,microbiome; microbiota; gut microbiota
